trial,trial_dir,seed_base,trial_seed_master
421,/project/data/scenario1/bootstrap/trial_0421,4869,4214869
422,/project/data/scenario1/bootstrap/trial_0422,4869,4224869
423,/project/data/scenario1/bootstrap/trial_0423,4869,4234869
424,/project/data/scenario1/bootstrap/trial_0424,4869,4244869
425,/project/data/scenario1/bootstrap/trial_0425,4869,4254869
426,/project/data/scenario1/bootstrap/trial_0426,4869,4264869
427,/project/data/scenario1/bootstrap/trial_0427,4869,4274869
428,/project/data/scenario1/bootstrap/trial_0428,4869,4284869
429,/project/data/scenario1/bootstrap/trial_0429,4869,4294869
430,/project/data/scenario1/bootstrap/trial_0430,4869,4304869
431,/project/data/scenario1/bootstrap/trial_0431,4869,4314869
432,/project/data/scenario1/bootstrap/trial_0432,4869,4324869
433,/project/data/scenario1/bootstrap/trial_0433,4869,4334869
434,/project/data/scenario1/bootstrap/trial_0434,4869,4344869
435,/project/data/scenario1/bootstrap/trial_0435,4869,4354869
436,/project/data/scenario1/bootstrap/trial_0436,4869,4364869
437,/project/data/scenario1/bootstrap/trial_0437,4869,4374869
438,/project/data/scenario1/bootstrap/trial_0438,4869,4384869
439,/project/data/scenario1/bootstrap/trial_0439,4869,4394869
440,/project/data/scenario1/bootstrap/trial_0440,4869,4404869
441,/project/data/scenario1/bootstrap/trial_0441,4869,4414869
442,/project/data/scenario1/bootstrap/trial_0442,4869,4424869
443,/project/data/scenario1/bootstrap/trial_0443,4869,4434869
444,/project/data/scenario1/bootstrap/trial_0444,4869,4444869
445,/project/data/scenario1/bootstrap/trial_0445,4869,4454869
446,/project/data/scenario1/bootstrap/trial_0446,4869,4464869
447,/project/data/scenario1/bootstrap/trial_0447,4869,4474869
448,/project/data/scenario1/bootstrap/trial_0448,4869,4484869
449,/project/data/scenario1/bootstrap/trial_0449,4869,4494869
450,/project/data/scenario1/bootstrap/trial_0450,4869,4504869
